District,School,County,Enrollment,2021/09/18,2021/10/02,2021/10/16,2021/10/30,2021/11/13,2021/11/27,2021/12/11,2021/12/25
Great Expectations,Great Expectations,Cook,111,0,0,0,0,0,0,0,0
Minnesota Internship Center,RONDO CAMPUS,Ramsey,143,0,0,0,0,0,0,0,0
Minnesota Internship Center,Unity Campus,Hennepin,140,0,0,0,0,0,0,0,0
Minnesota Internship Center,Downtown Campus,Hennepin,121,0,0,0,0,0,0,0,0
Minnesota Internship Center,SOAR Campus,Hennepin,73,0,0,0,0,0,0,0,0
Hmong College Prep Academy,Hmong College Prep Academy HS,Ramsey,685,0,0,0,0,0,0,0,0
Hmong College Prep Academy,Hmong College Prep Academy MS,Ramsey,644,0,0,0,0,0,0,0,0
Hmong College Prep Academy,Hmong College Prep Academy ES,Ramsey,1049,0,0,0,9,18,27,31,35
Paladin Career and Technical High School,Paladin Career and Technical High School,Anoka,178,0,0,0,0,0,0,0,0
Great River School,Great River School,Ramsey,401,0,0,4,8,12,21,25,25
Great River School,Great River Elementary School,Ramsey,382,0,0,0,0,0,0,0,0
TrekNorth High School,TrekNorth High School,Beltrami,146,0,0,0,0,0,0,0,0
TrekNorth High School,Trek North Middle School,Beltrami,105,0,0,4,13,17,21,25,25
Voyageurs Expeditionary,Voyageurs Expeditionary School,Beltrami,56,0,0,4,23,27,31,35,35
PIM Arts High School,PIM Arts High School,Hennepin,348,0,0,0,0,0,0,0,0
Augsburg Fairview Academy,Augsburg Fairview Academy,Hennepin,98,0,0,0,0,0,0,0,0
St Paul Conservatory Performing Art,St Paul Conservatory Performing Art,Ramsey,440,0,0,0,0,0,0,0,0
Spero Academy,Spero Academy,Hennepin,135,0,0,0,0,0,0,0,0
Lakes International Language Academy,Lakes International Language Academy Main Campus,Washington,575,4,13,22,31,40,59,88,92
Lakes International Language Academy,Lakes International Language Academy-Headwaters Campus,Washington,546,0,0,9,13,22,26,30,34
Lakes International Language Academy,LILA Kinder Center,Washington,126,0,0,0,0,4,13,17,21
Kaleidoscope Charter School,Kaleidoscope Charter Elementary School,Wright,344,0,0,4,8,47,51,55,59
Kaleidoscope Charter School,Kaleidoscope Charter High School,Wright,91,0,0,4,8,27,31,35,39
Kaleidoscope Charter School,Kaleidoscope Middle School,Wright,114,0,0,0,0,0,0,0,0
Academic Arts High School,Academic Arts High School,Dakota,89,0,0,0,0,0,0,0,0
St. Croix Preparatory Academy,St. Croix Preparatory Academy Lower,Washington,450,0,0,0,4,23,32,36,36
St. Croix Preparatory Academy,St. Croix Preparatory Academy Middle,Washington,371,0,0,0,0,19,28,37,41
St. Croix Preparatory Academy,St. Croix Preparatory Academy Upper,Washington,383,0,0,0,0,0,0,0,0
Ubah Medical Academy Charter School,Ubah Medical Academy Charter School,Hennepin,313,0,0,0,0,0,0,0,0
Eagle Ridge Academy Charter School,Eagle Ridge Academy Charter School,Hennepin,606,4,8,27,36,40,49,53,57
Eagle Ridge Academy Charter School,Eagle Ridge Academy Lower School,Hennepin,825,4,8,27,36,40,59,63,67
Beacon Academy,Beacon Academy,Hennepin,568,0,0,0,4,13,17,21,25
Prairie Seeds Academy,Prairie Seeds Elementary School Academy,Hennepin,375,0,0,0,0,0,0,0,0
Prairie Seeds Academy,Prairie Seeds Middle School Academy,Hennepin,204,0,0,0,0,0,0,0,0
Prairie Seeds Academy,Prairie Seeds High School Academy,Hennepin,210,0,0,0,0,0,0,0,0
TEAM Academy,TEAM Academy,Waseca,95,0,0,0,0,0,0,0,0
Metro Schools Charter,Metro Schools Charter,Hennepin,322,0,0,0,0,4,13,22,26
Metro Schools Charter,Metro Schools Middle Charter,Hennepin,105,0,0,0,0,0,0,0,0
Twin Cities Academy,Twin Cities Academy,Ramsey,544,0,0,0,0,0,0,0,0
Rochester Math And Science Academy,Rochester Math And Science Academy,Olmsted,420,4,13,13,13,17,17,17,17
Swan River Montessori Charter School,Swan River Montessori Charter School,Wright,140,0,0,0,0,0,0,0,0
LoveWorks Academy For Arts,LoveWorks Academy For Arts,Hennepin,143,0,0,0,0,0,0,0,0
Yinghua Academy,Yinghua Academy,Hennepin,852,0,0,0,4,13,17,21,25
Stride Academy Charter School,Stride Academy K-8 Charter School,Stearns,461,0,0,0,0,0,0,0,0
New Millennium Academy Charter Sch,New Millenium Academy Charter School,Hennepin,789,0,0,0,4,8,12,31,35
Green Isle Community School,Green Isle Community School,Sibley,50,0,0,0,0,0,0,0,0
Northern Lights Community School,Northern Lights Community School,Itasca,92,0,0,0,0,0,0,0,0
Minnesota Online High School,Minnesota Online High School,Ramsey,237,0,0,0,0,0,0,0,0
EdVisions Off Campus School,EdVisions Off Campus School,Sibley,109,0,0,0,0,0,0,0,0
Twin Cities German Immersion Charter School,Twin Cities German Immersion Charter School,Ramsey,587,4,13,13,17,21,40,49,53
Midway Star Academy,Midway Star Academy,Ramsey,390,0,0,0,0,0,0,0,0
Naytahwaush Community School,Naytahwaush Community School,Mahnomen,132,0,0,0,0,0,0,0,0
Seven Hills Preparatory Academy,Seven Hills Preparatory Academy,Hennepin,560,0,0,9,18,27,31,35,39
Seven Hills Preparatory Academy,Seven Hills Preparatory Academy Upper School,Hennepin,267,0,0,0,0,0,0,0,0
Spectrum High School,Spectrum High School,Sherburne,438,9,28,37,41,60,69,78,82
Spectrum High School,Spectrum Middle School,Sherburne,136,0,0,0,0,0,0,0,0
Spectrum High School,Spectrum Middle School - Grades 7-8,Sherburne,238,0,0,0,0,0,0,0,0
New Discoveries Montessori Academy,New Discoveries Montessori Academy,Mcleod,228,0,0,0,0,0,0,0,0
Southside Family Charter School,Southside Family Charter School,Hennepin,120,0,0,0,0,0,0,0,0
Laura Jeffrey Academy Charter,Laura Jeffrey Academy Charter,Ramsey,73,0,0,0,0,0,0,0,0
East Range Academy of Tech-Science,East Range Academy of Tech-Science,Saint Louis,164,0,0,0,0,0,0,0,0
International Spanish Language Academy,International Spanish Language Academy,Hennepin,325,0,0,9,18,22,31,35,39
Glacial Hills Elementary,Glacial Hills Elementary,Pope,88,0,0,0,0,0,0,0,0
Stonebridge World School,Stonebridge World School,Hennepin,284,0,0,0,0,0,0,0,0
Hiawatha Academies,Hiawatha Leadership Acad-Morris Pk,Hennepin,209,0,0,0,0,0,0,0,0
Hiawatha Academies,Hiawatha College Prep - Kingfield,Hennepin,311,0,0,0,0,0,0,0,0
Hiawatha Academies,Hiawatha Leadership Academy-Northrop,Hennepin,264,0,0,0,0,0,0,0,0
Hiawatha Academies,Hiawatha Collegiate High School,Hennepin,560,0,0,0,0,0,0,0,0
Hiawatha Academies,Hiawatha College Prep - Northrop,Hennepin,242,0,0,0,0,0,0,0,0
Noble Academy,Noble Academy,Hennepin,560,0,0,0,0,0,0,0,0
Noble Academy,Nompeng Academy,Hennepin,261,0,0,0,0,0,0,0,0
Lincoln International School,Lincoln International School,Hennepin,125,0,0,0,0,0,0,0,0
Community School of Excellence,Community School of Excellence,Ramsey,1351,0,0,0,4,8,12,21,25
Community School of Excellence,Community School of Excellence High School,Ramsey,87,0,0,0,0,0,0,0,0
Lionsgate Academy,Lionsgate Academy - Minnetonka,Hennepin,147,0,0,0,0,0,0,0,0
Lionsgate Academy,Lionsgate Academy - Shoreview,Ramsey,136,0,0,0,0,0,0,0,0
Aspen Academy,Aspen Academy,Scott,647,0,0,4,8,17,36,45,49
DaVinci Academy,DaVinci Academy,Anoka,910,9,18,22,31,40,44,48,52
Global Academy,Global Academy,Ramsey,454,4,13,17,21,40,49,58,62
Cologne Academy,Cologne Academy,Carver,656,0,0,4,13,82,91,100,104
Legacy of Dr. Josie R. Johnson Montessori,Legacy of Dr. Josie R. Johnson Montessori,Hennepin,99,0,0,0,0,0,0,0,0
KIPP Minnesota Charter School,KIPP North Star Academy,Hennepin,207,0,0,0,0,0,0,0,0
KIPP Minnesota Charter School,KIPP Legacy Academy,Hennepin,104,0,0,0,0,0,0,0,0
KIPP Minnesota Charter School,KIPP North Star Primary,Hennepin,286,0,0,0,0,0,0,0,0
KIPP Minnesota Charter School,KIPP Legacy Primary,Hennepin,66,0,0,0,0,0,0,0,0
Best Academy,Best Academy,Hennepin,715,0,0,0,0,0,0,0,0
College Preparatory Elementary,College Preparatory Elementary,Ramsey,289,0,0,0,0,0,0,0,0
Cannon River STEM School,Cannon River STEM School,Rice,326,0,0,4,8,17,21,25,29
Discovery Woods,Discovery Woods,Crow Wing,102,0,0,0,0,0,0,0,0
Parnassus Preparatory Charter School,Parnassus Preparatory School-Grammar,Hennepin,652,0,0,0,0,0,0,0,0
Parnassus Preparatory Charter School,Parnassus Preparatory School-Logic,Hennepin,483,0,0,0,0,0,0,0,0
Parnassus Preparatory Charter School,Parnassus Preparatory School-Rhetoric,Hennepin,173,0,0,0,0,0,0,0,0
STEP Academy Charter School,STEP ACADEMY CHARTER SCHOOL,Ramsey,384,0,0,0,0,0,0,0,0
STEP Academy Charter School,STEP Academy Elementary,Ramsey,259,0,0,0,0,0,0,0,0
Cornerstone Montessori Elementary,Cornerstone Montessori Elementary,Ramsey,135,0,0,0,0,0,0,0,0
Rochester STEM Academy,ROCHESTER STEM ACADEMY,Olmsted,124,0,0,0,0,0,0,0,0
Hennepin Elementary School,Hennepin Elementary School,Hennepin,270,0,0,0,0,0,0,0,0
Hennepin Elementary School,Hennepin Middle School,Hennepin,106,0,0,0,0,0,0,0,0
Nasha Shkola Charter School,Nasha Shkola Charter School,Hennepin,115,0,0,0,0,0,0,0,0
Mastery School,Mastery School,Hennepin,118,0,0,0,0,0,0,0,0
Upper Mississippi Academy,Upper Mississippi Middle Academy,Ramsey,115,0,0,0,0,0,0,0,0
Upper Mississippi Academy,Upper Mississippi High Academy,Ramsey,172,0,0,0,0,0,0,0,0
Prodeo Academy,Prodeo Academy Columbia Heights Primary,Anoka,180,0,0,9,13,17,17,17,17
Prodeo Academy,Prodeo Academy Columbia Heights Elementary,Anoka,229,0,0,0,0,0,0,0,0
Prodeo Academy,Prodeo Academy Columbia Heights Middle,Anoka,186,0,0,0,0,0,0,0,0
Prodeo Academy,Prodeo Academy St. Paul,Ramsey,180,0,0,0,0,0,0,0,0
Sejong Academy of Minnesota,Sejong Academy of Minnesota,Ramsey,212,0,0,0,0,0,0,0,0
Technical Academies of Minnesota,DREAM Technical Academy,Kandiyohi,73,0,0,0,0,0,0,0,0
Venture Academy,Venture Academy,Hennepin,322,0,0,0,0,0,0,0,0
Northeast College Prep,Northeast College Prep Charter School,Hennepin,373,0,0,0,0,0,0,0,0
Agamim Classical Academy,Agamim Classical Academy,Hennepin,314,0,0,9,13,17,17,17,17
Discovery Charter School,Discovery Charter Elementary School,Dakota,223,0,0,4,8,12,21,25,29
Saint Cloud Math and Science Academy Charter School,Saint Cloud Math and Science Academy Charter School,Stearns,226,0,0,0,0,9,13,17,21
Star of the North Academy Charter School,Star of the North Academy Charter School,Anoka,126,0,0,0,0,0,0,0,0
Universal Academy Charter School,Universal Academy Charter School,Hennepin,427,0,0,0,0,0,0,0,0
Bdote Learning Center,Bdote Learning Center,Hennepin,102,0,0,0,0,0,0,0,0
Art and Science Academy,Art and Science Academy,Isanti,191,4,23,23,23,27,27,27,27
Art and Science Academy,Art & Science Academy Middle School,Isanti,156,0,0,9,13,17,17,17,17
Woodbury Leadership Academy,Woodbury Leadership Academy,Washington,564,4,13,17,21,25,34,43,52
Jane Goodall Environmental Science Academy,Jane Goodall Environmental Science Academy,Wright,111,0,0,0,0,0,0,0,0
Minnesota Excellence in Learning Academy,Minnesota Excellence in Learning Academy,Hennepin,203,0,0,9,13,17,17,17,17
Minnesota Math and Science Academy,MMSA Elementary School,Ramsey,197,0,0,0,0,0,0,0,0
Minnesota Math and Science Academy,MMSA Middle School,Ramsey,182,0,0,0,0,0,0,0,0
Minnesota Math and Science Academy,MMSA High School,Ramsey,125,0,0,0,0,0,0,0,0
Success Academy,Success Academy,Hennepin,157,0,0,0,0,0,0,0,0
Level Up Academy,Level Up Academy,Ramsey,90,0,0,0,0,0,0,0,0
Career Pathways,Career Pathways,Ramsey,107,0,0,0,0,0,0,0,0
Rochester Beacon Academy,Rochester Beacon Academy,Olmsted,112,0,0,0,0,0,0,0,0
Tesfa International School,Tesfa International School,Anoka,139,0,0,0,0,0,0,0,0
New Century School,New Century School,Ramsey,377,4,13,13,13,17,17,17,17
North Metro Flex Academy,North Metro Flex Academy,Ramsey,212,0,0,0,0,0,0,0,0
FIT Academy,FIT Academy,Dakota,237,0,0,0,0,0,0,0,0
Athlos Academy of Saint Cloud,Athlos Academy of Saint Cloud,Stearns,644,4,13,22,26,30,30,30,30
Phoenix Academy Charter School,Phoenix Academy Charter School,Chisago,147,0,0,0,0,0,0,0,0
Marine Area Community School,Marine Area Community School,Washington,201,0,0,0,0,0,0,0,0
Skyline Math and Science Academy,Skyline Math and Science Academy,Hennepin,239,0,0,0,0,0,0,0,0
The Journey School,The Journey School,Ramsey,83,0,0,0,0,0,0,0,0
SciTech Academy Charter School,SciTech Academy Charter School,Hennepin,218,0,0,0,0,0,0,0,0
SciTech Academy Charter School,SciTech Academy Middle,Hennepin,63,0,0,0,0,0,0,0,0
Progeny Academy Charter School,Progeny Academy Charter School,Hennepin,52,0,0,0,0,0,0,0,0
Gateway STEM Academy,Gateway STEM Academy Charter School,Dakota,221,0,0,0,0,0,0,0,0
Three Rivers Montessori School,Three Rivers Montessori School,Sherburne,85,0,0,0,0,0,0,0,0
Horizon Science Academy Twin Cities Charter School,Horizon Science Academy Twin Cities,Hennepin,85,0,0,0,0,0,0,0,0
Great Oaks Academy Charter School,Great Oaks Academy Charter School,Dakota,78,0,0,0,0,0,0,0,0
Quantum STEAM Academy Charter School,Quantum STEAM Academy Charter School,Ramsey,67,0,0,0,0,0,0,0,0
Aurora Waasakone Community of Learners Charter School,Aurora Waasakone Community of Learners Charter School,Beltrami,104,0,0,0,0,0,0,0,0
Modern Montessori Charter School,Modern Montessori Charter School,Hennepin,110,0,0,0,0,0,0,0,0
St. Paul School of Northern Lights,St. Paul School of Northern Lights,Ramsey,206,0,0,0,0,0,0,0,0
Freshwater Education District,Freshwater Education District ALC,Wadena,94,0,0,9,13,17,17,17,17
Freshwater Education District,Early Childhood Special Education,Wadena,60,0,0,0,0,0,0,0,0
Zumbro Education District,Zumbro Education District,Olmsted,57,0,0,0,0,0,0,0,0
Zumbro Education District,Zumbro Area Learning Center,Olmsted,69,0,0,0,0,0,0,0,0
Runestone Area Ed. District,RUNESTONE REGIONAL LEARNING CENTER,Douglas,95,0,0,0,0,0,0,0,0
MN River Valley Education District,MN River Valley ALC-Seatbased,Chippewa,116,0,0,0,0,0,0,0,0
River Bend Education District,River Bend Area Learning Center,Brown,65,0,0,9,13,17,17,17,17
River Bend Education District,River Bend Early Childhood Prog.,Brown,51,0,0,0,0,0,0,0,0
Goodhue County Education District,Reach Programs,Goodhue,67,0,0,0,0,0,0,0,0
Goodhue County Education District,Tower View Alternative High School,Goodhue,63,0,0,0,0,0,0,0,0
Northland Learning Center,Northland Learning Center 010,Saint Louis,51,0,0,0,0,0,0,0,0
Northland Learning Center,Northland Learning Center 020,Saint Louis,69,0,0,0,0,0,0,0,0
Rum River Special Education Coop,RUM RIVER NORTH,Mille Lacs,94,0,0,0,0,0,0,0,0
Sherburne and Northern Wright Special Education Cooperative,SNW HS DCD Program,Wright,53,0,0,0,0,0,0,0,0
Sherburne and Northern Wright Special Education Cooperative,Eastview Elementary School - SNW,Wright,79,0,0,0,0,0,0,0,0
Benton-Stearns Education District,Benton-Stearns Education District Early Childhood,Stearns,51,0,0,0,0,0,0,0,0
