District,School,County,Type,Enrollment,Grades,2021/09/18,2021/10/02,2021/10/16,2021/10/30,2021/11/13,2021/11/27,2021/12/11,2021/12/25,2022/01/08,2022/01/22,2022/02/05
St. Cloud Public School District,Discovery Community Elementary,Stearns,Public,551,63,0,5,5,5,5,5,15,15,20,25,25
St. Cloud Public School District,Talahi Community Elementary,Sherburne,Public,554,7,0,0,0,0,0,0,5,5,5,5,5
St. Cloud Public School District,Westwood Elementary,Stearns,Public,387,63,0,0,0,0,5,15,20,20,20,20,20
St. Cloud Public School District,St. Cloud Group Home,Stearns,Public,4,7168,0,0,0,0,0,0,0,0,0,0,0
St. Cloud Public School District,Oak Hill Community Elementary,Stearns,Public,823,63,5,5,5,10,20,25,25,25,30,35,35
St. Cloud Public School District,North Junior High,Stearns,Public,829,448,0,10,15,15,20,25,30,35,35,40,40
St. Cloud Public School District,South Junior High,Stearns,Public,910,448,0,0,0,5,15,25,30,30,30,35,35
St. Cloud Public School District,Apollo Senior High,Stearns,Public,1327,7680,0,10,20,25,30,35,45,45,55,65,65
St. Cloud Public School District,Technical Senior High,Stearns,Public,1541,7680,10,20,30,30,35,45,55,60,70,70,70
St. Cloud Public School District,Roosevelt Education Center,Stearns,Public,41,7732,0,0,0,0,0,0,0,0,0,0,0
St. Cloud Public School District,St. Cloud Area Learning Center,Stearns,Public,233,7168,0,0,0,0,0,0,0,0,0,0,0
St. Cloud Public School District,St. Cloud Hospital Programs Non-Res,Stearns,Public,22,8182,0,0,0,0,0,0,0,0,0,0,0
St. Cloud Public School District,St Cloud Hospital Progs-Residential,Stearns,Public,17,7424,0,0,0,0,0,0,0,0,0,0,0
St. Cloud Public School District,Riverwoods School Non-Residential,Stearns,Public,26,2528,0,0,0,0,0,0,0,0,0,0,0
Sauk Centre Public School District,Sauk Centre Elementary,Stearns,Public,347,31,0,10,15,20,20,20,20,20,20,30,30
Sauk Centre Public School District,Sauk Centre Secondary,Stearns,Public,531,8064,5,25,25,25,30,30,30,30,30,35,35
Sauk Centre Public School District,Sauk Centre Middle,Stearns,Public,150,96,0,20,20,25,25,30,30,30,30,35,35
Albany Public School District,Albany Elementary,Stearns,Public,486,63,0,5,15,15,15,15,15,15,15,20,20
Albany Public School District,Avon Elementary,Stearns,Public,331,63,5,25,30,35,35,35,35,35,35,35,35
Albany Public School District,Albany Area Middle School,Stearns,Public,450,448,0,20,30,30,30,30,30,30,30,30,30
Albany Public School District,Albany Area High School,Stearns,Public,519,7680,0,10,20,20,25,30,35,35,35,40,40
Sartell-St. Stephen School District,Sartell Senior High,Stearns,Public,1372,7680,5,15,15,15,20,30,30,30,50,60,60
Sartell-St. Stephen School District,Pine Meadow Primary School,Stearns,Public,614,6,5,10,10,10,15,15,15,15,15,25,25
Sartell-St. Stephen School District,Sartell Middle,Stearns,Public,982,448,5,15,20,20,25,30,30,30,40,50,50
Sartell-St. Stephen School District,Oak Ridge Early Learning Center,Stearns,Public,295,1,0,0,0,0,0,0,0,0,0,0,0
Sartell-St. Stephen School District,Riverview Intermediate School,Stearns,Public,896,56,5,10,20,20,25,35,35,35,40,50,50
Rocori Public School District,Richmond Elementary,Stearns,Public,127,63,0,0,0,0,0,0,0,0,0,0,0
Rocori Public School District,Rockville Elementary,Stearns,Public,132,63,0,0,0,0,0,0,0,0,0,0,0
Rocori Public School District,Cold Spring Elementary,Stearns,Public,578,63,0,0,5,10,15,20,20,20,20,20,20
Rocori Public School District,Rocori Senior High,Stearns,Public,850,7680,5,5,5,5,5,5,5,5,5,5,5
Rocori Public School District,Rocori Middle,Stearns,Public,589,448,0,0,0,0,0,0,0,0,0,0,0
Rocori Public School District,Rocori ALC,Stearns,Public,23,6528,0,0,0,0,0,0,0,0,0,0,0
Blooming Prairie Public School Dist,Blooming Prairie Elementary,Steele,Public,421,127,5,15,15,15,25,25,25,25,25,25,25
Blooming Prairie Public School Dist,Blooming Prairie Secondary,Steele,Public,375,8064,0,0,10,15,15,15,15,15,15,15,15
Owatonna Public School District,Owatonna Senior High,Steele,Public,1522,7680,10,20,30,40,50,60,70,75,80,100,100
Owatonna Public School District,Owatonna Middle School,Steele,Public,1098,448,20,40,45,50,55,65,70,70,80,100,100
Owatonna Public School District,Owatonna ALC 9-12,Steele,Public,93,7680,0,0,0,0,0,0,0,0,0,0,0
Owatonna Public School District,Lincoln Elementary,Steele,Public,550,63,0,0,0,0,10,10,10,10,10,15,15
Owatonna Public School District,McKinley Elementary,Steele,Public,526,63,0,5,10,10,10,15,15,15,20,30,30
Owatonna Public School District,Owatonna ECSE,Steele,Public,79,1,0,0,0,0,0,0,0,0,0,0,0
Owatonna Public School District,Washington Elementary,Steele,Public,504,63,5,5,10,15,15,20,20,20,20,25,25
Owatonna Public School District,Wilson Elementary,Steele,Public,451,63,0,0,0,0,0,0,0,0,0,0,0
Owatonna Public School District,Owatonna School Readiness,Steele,Public,108,1,0,0,0,0,0,0,0,0,0,0,0
Medford Public School District,Medford Elementary,Steele,Public,475,127,0,0,0,0,0,0,0,0,0,0,0
Medford Public School District,Medford Secondary,Steele,Public,419,8064,0,0,0,0,0,0,0,0,0,0,0
Hancock Public School District,Hancock Elementary,Stevens,Public,220,127,0,0,0,0,0,0,0,0,0,0,0
Hancock Public School District,Hancock Sec.,Stevens,Public,191,8064,0,0,0,0,0,0,0,0,0,0,0
Chokio-Alberta Public School Dist.,Chokio-Alberta Secondary,Stevens,Public,93,8064,0,0,0,0,0,0,0,0,0,0,0
Chokio-Alberta Public School Dist.,Chokio-Alberta Elementary,Stevens,Public,63,127,0,0,0,0,0,0,0,0,0,0,0
Kerkhoven-Murdock-Sunburg,Murdock Elementary,Swift,Public,395,127,0,10,15,15,15,15,15,15,15,20,20
Kerkhoven-Murdock-Sunburg,Kerkhoven Secondary,Swift,Public,347,8064,0,10,10,10,15,15,15,15,15,15,15
Benson Public School District,Benson Secondary,Swift,Public,399,8128,0,5,5,5,15,20,20,20,20,20,20
Benson Public School District,Northside Elementary,Swift,Public,377,63,0,0,5,10,20,30,30,30,30,35,35
Benson Public School District,BENSON AREA LEARNING CENTER,Swift,Public,18,6144,0,0,0,0,0,0,0,0,0,0,0
Benson Public School District,Heartland Girls Ranch,Swift,Public,18,7936,0,0,0,0,0,0,0,0,0,0,0
Bertha-Hewitt Public School District,Bertha Elementary,Todd,Public,273,127,0,0,0,0,0,0,0,0,0,0,0
Bertha-Hewitt Public School District,Bertha Secondary,Todd,Public,256,8064,0,0,0,0,0,0,0,0,0,0,0
Browerville Public School District,Browerville Elementary,Todd,Public,269,127,0,0,10,10,10,10,10,10,10,10,10
Browerville Public School District,Browerville Secondary,Todd,Public,262,8064,0,0,20,20,20,20,20,20,20,20,20
Browns Valley Public School District,Browns Valley Elementary,Traverse,Public,119,31,0,0,0,0,0,0,0,0,0,0,0
Browns Valley Public School District,Browns Valley Middle,Traverse,Public,64,992,0,0,0,0,0,0,0,0,0,0,0
Wheaton Area Public School District,Pearson Elementary,Traverse,Public,165,63,0,5,5,5,5,5,5,5,5,5,5
Wheaton Area Public School District,Wheaton Secondary,Traverse,Public,206,8128,0,0,0,0,0,0,0,0,0,0,0
Wabasha-Kellogg Public School Dist.,Wabasha-Kellogg Elementary,Wabasha,Public,204,127,0,0,0,0,0,5,5,5,5,5,5
Wabasha-Kellogg Public School Dist.,Wabasha-Kellogg Secondary,Wabasha,Public,258,8064,0,0,0,0,0,5,5,5,5,10,10
Wabasha-Kellogg Public School Dist.,Falcon View Connections Academy,Wabasha,Public,459,8191,0,0,0,0,0,0,0,0,0,0,0
Lake City Public School District,Bluff View Elementary,Wabasha,Public,579,127,0,0,0,10,15,20,20,20,20,20,20
Lake City Public School District,Lincoln Secondary,Wabasha,Public,587,8064,0,5,10,30,40,40,40,40,40,40,40
Verndale Public School District,Verndale Elementary,Wadena,Public,259,127,0,5,5,10,15,15,15,15,15,15,15
Verndale Public School District,Verndale Secondary,Wadena,Public,254,8064,0,5,10,15,20,20,20,20,20,20,20
Sebeka Public School District,Sebeka Elementary,Wadena,Public,221,127,0,5,5,5,5,5,5,5,5,5,5
Sebeka Public School District,Sebeka Secondary,Wadena,Public,227,8064,5,15,15,15,15,15,15,15,15,15,15
Menahga Public School District,Menahga Elementary,Wadena,Public,289,31,0,5,10,10,10,10,10,10,10,10,10
Menahga Public School District,Menahga Middle School,Wadena,Public,280,480,0,0,0,0,0,0,0,0,0,0,0
Menahga Public School District,MENAHGA HIGH SCHOOL,Wadena,Public,269,7680,0,10,10,10,10,10,10,10,10,10,10
Waseca Public School District,Hartley Elementary,Waseca,Public,421,15,0,5,5,5,5,5,5,5,5,5,5
Waseca Public School District,Waseca Early Childhood,Waseca,Public,36,1,0,0,0,0,0,0,0,0,0,0,0
Waseca Public School District,Waseca Intermediate School,Waseca,Public,354,112,0,5,5,5,5,5,5,5,5,5,5
Waseca Public School District,Waseca Junior High,Waseca,Public,325,384,5,10,10,10,10,10,10,10,10,10,10
Waseca Public School District,Waseca Senior High,Waseca,Public,583,7680,5,10,10,10,10,20,20,20,25,25,25
Waseca Public School District,Waseca Area Learning Center,Waseca,Public,71,7680,0,0,0,0,0,0,0,0,0,0,0
Forest Lake Public School District,Forest Lake Area Community School,Washington,Public,200,8064,5,10,10,10,10,10,10,10,10,10,10
Forest Lake Public School District,Forest Lake Area High School,Washington,Public,1933,7680,10,50,90,95,100,100,105,105,105,105,105
Forest Lake Public School District,Forest Lake Area Middle School,Washington,Public,826,384,0,5,10,15,15,15,15,15,15,15,15
Forest Lake Public School District,Step,Washington,Public,48,4096,0,0,0,0,0,0,0,0,0,0,0
Forest Lake Public School District,Columbus Elementary,Anoka,Public,384,127,0,5,5,5,5,5,5,5,5,5,5
Forest Lake Public School District,Forest Lake Elementary,Washington,Public,333,112,0,0,0,0,0,0,0,0,0,0,0
Forest Lake Public School District,Forest View Elementary,Washington,Public,413,15,0,0,0,0,0,5,5,5,5,5,5
Forest Lake Public School District,Lino Lakes Elementary,Anoka,Public,464,127,0,0,0,0,5,5,5,5,10,10,10
Forest Lake Public School District,Linwood Elementary,Anoka,Public,364,127,0,0,0,0,5,10,10,10,10,10,10
Forest Lake Public School District,Scandia Elementary,Washington,Public,349,127,5,5,5,10,15,15,15,15,15,15,15
Forest Lake Public School District,Wyoming Elementary,Chisago,Public,515,127,5,10,15,15,20,20,20,20,20,25,25
Forest Lake Public School District,Early Childhood Special Education,Washington,Public,85,1,0,0,0,0,0,0,0,0,0,0,0
Mahtomedi Public School District,O.H. Anderson Elementary,Washington,Public,625,56,0,5,10,15,15,20,20,20,20,25,25
Mahtomedi Public School District,Wildwood Elementary,Washington,Public,573,7,0,0,0,0,0,0,0,0,0,10,10
Mahtomedi Public School District,Mahtomedi Middle,Washington,Public,835,448,0,0,5,5,5,15,20,20,20,30,30
Mahtomedi Public School District,Mahtomedi Senior High,Washington,Public,1160,7680,5,10,10,10,10,15,15,15,20,25,25
Mahtomedi Public School District,Mahtomedi Preschool,Washington,Public,27,1,0,0,0,0,0,0,0,0,0,0,0
Mahtomedi Public School District,Passages Transition Program,Washington,Public,13,4096,0,0,0,0,0,0,0,0,0,0,0
South Washington County School Dist,Cottage Grove Middle School,Washington,Public,954,448,0,5,5,5,15,25,30,30,30,30,30
South Washington County School Dist,Lake Middle School,Washington,Public,1142,448,0,0,0,5,10,15,25,25,25,25,25
South Washington County School Dist,Oltman Middle School,Washington,Public,952,448,0,0,0,5,10,10,20,25,25,25,25
South Washington County School Dist,South Washington Alternative High School,Washington,Public,101,7168,0,0,0,0,0,0,0,0,0,0,0
South Washington County School Dist,Park High School,Washington,Public,1975,7680,5,10,15,15,25,35,45,55,55,55,55
South Washington County School Dist,East Ridge High School,Washington,Public,1954,7680,0,5,10,10,15,20,20,30,30,30,30
South Washington County School Dist,Woodbury Middle School,Washington,Public,1158,448,0,0,0,0,5,15,15,20,20,20,20
South Washington County School Dist,Woodbury High School,Washington,Public,1972,7680,0,0,0,5,15,20,20,25,25,25,25
South Washington County School Dist,Armstrong Elementary,Washington,Public,331,63,0,0,0,0,0,5,5,5,5,5,5
South Washington County School Dist,Nuevas Fronteras Spanish Immersion Elementary,Washington,Public,466,63,0,0,0,5,10,20,30,30,30,30,30
South Washington County School Dist,Crestview Elementary,Washington,Public,411,63,5,5,10,10,20,25,25,25,25,25,25
South Washington County School Dist,Ages 3-5 Early Childhood Special Education,Washington,Public,516,1,0,0,0,0,0,0,0,0,0,0,0
South Washington County School Dist,Grey Cloud Elementary,Washington,Public,711,63,0,0,0,0,10,20,25,25,25,25,25
South Washington County School Dist,Hillside Elementary,Washington,Public,431,63,0,0,0,0,10,15,15,15,15,15,15
South Washington County School Dist,Cottage Grove Elementary,Washington,Public,428,63,0,0,0,0,10,15,15,15,15,15,15
South Washington County School Dist,Newport Elementary,Washington,Public,266,63,0,0,0,0,0,0,0,0,0,0,0
South Washington County School Dist,Pine Hill Elementary,Washington,Public,477,63,0,5,10,10,15,15,20,20,20,20,20
South Washington County School Dist,Liberty Ridge Elementary,Washington,Public,768,63,0,0,0,0,10,15,20,20,20,20,20
South Washington County School Dist,Pullman Elementary,Washington,Public,423,63,0,5,10,10,10,15,15,15,15,15,15
South Washington County School Dist,Red Rock Elementary,Washington,Public,634,63,0,0,0,5,15,15,15,15,15,15,15
South Washington County School Dist,Royal Oaks Elementary,Washington,Public,516,63,0,0,5,10,20,25,25,25,25,25,25
South Washington County School Dist,Gordon Bailey Elementary,Washington,Public,610,63,0,0,0,0,0,0,0,0,0,0,0
South Washington County School Dist,Woodbury Elementary,Washington,Public,435,63,0,0,0,0,0,5,5,5,5,5,5
South Washington County School Dist,Middleton Elementary,Washington,Public,667,63,0,0,0,0,20,25,25,25,25,25,25
South Washington County School Dist,Access,Washington,Public,12,4096,0,0,0,0,0,0,0,0,0,0,0
South Washington County School Dist,Next Step Transition Program,Washington,Public,77,4096,0,0,0,0,0,0,0,0,0,0,0
South Washington County School Dist,Valley Crossing Elementary,Washington,Public,614,63,0,0,0,0,10,10,10,10,10,10,10
Stillwater Area Public School Dist.,Stillwater Area High School,Washington,Public,2730,7680,5,10,15,15,20,50,60,70,80,110,110
Stillwater Area Public School Dist.,Oak-Land Middle School,Washington,Public,981,448,0,0,5,5,10,20,30,30,40,60,60
Stillwater Area Public School Dist.,Stillwater Middle School,Washington,Public,926,448,0,0,0,0,0,10,10,10,15,20,20
Stillwater Area Public School Dist.,Bridge Transition Program,Washington,Public,29,4096,0,0,0,0,0,0,0,0,0,0,0
Stillwater Area Public School Dist.,St Croix Valley Area Learning Cntr.,Washington,Public,74,7168,0,0,0,0,0,0,0,0,0,0,0
Stillwater Area Public School Dist.,Afton-Lakeland Elementary,Washington,Public,440,63,0,0,0,10,10,10,15,15,15,20,20
Stillwater Area Public School Dist.,Andersen Elementary,Washington,Public,312,63,0,0,0,0,5,10,10,15,15,20,20
Stillwater Area Public School Dist.,Lake Elmo Elementary,Washington,Public,676,63,0,5,5,5,5,15,25,25,25,35,35
Stillwater Area Public School Dist.,Lily Lake Elementary,Washington,Public,437,63,0,0,0,0,0,0,0,0,0,0,0
Stillwater Area Public School Dist.,Stonebridge Elementary,Washington,Public,396,63,0,0,0,0,0,5,5,5,5,5,5
Stillwater Area Public School Dist.,Brookview Elementary,Washington,Public,477,63,0,0,0,0,5,5,5,5,5,10,10
Stillwater Area Public School Dist.,GATE 4/5,Washington,Public,59,48,0,0,0,0,0,0,0,0,0,0,0
Stillwater Area Public School Dist.,Stillwater Special Services-ECSE,Washington,Public,205,1,0,0,0,0,0,0,0,0,0,0,0
Stillwater Area Public School Dist.,Rutherford Elementary,Washington,Public,548,63,0,0,0,0,0,10,15,15,15,15,15
Butterfield Public School District,Butterfield Elementary,Watonwan,Public,119,127,0,0,0,0,0,0,0,0,0,0,0
Butterfield Public School District,Butterfield Secondary,Watonwan,Public,99,8064,0,0,0,0,0,0,0,0,0,0,0
Madelia Public School District,Madelia Elementary,Watonwan,Public,343,127,0,0,0,0,0,0,0,0,0,0,0
Madelia Public School District,Madelia Secondary,Watonwan,Public,269,8064,0,0,0,0,0,0,0,0,0,0,0
Madelia Public School District,eMinnesota Online Academy,Watonwan,Public,2,6144,0,0,0,0,0,0,0,0,0,0,0
St. James Public School District,St. James Early Childhood,Watonwan,Public,10,1,0,0,0,0,0,0,0,0,0,0,0
St. James Public School District,St. James Northside Elementary,Watonwan,Public,452,63,0,0,0,0,10,15,20,20,20,20,20
St. James Public School District,Armstrong School,Watonwan,Public,69,1,0,0,0,0,0,0,0,0,0,0,0
St. James Public School District,St. James Middle/High School,Watonwan,Public,506,8128,0,0,0,0,0,0,5,5,5,10,10
Breckenridge Public School District,Breckenridge Elementary,Wilkin,Public,309,127,0,0,0,0,0,0,0,0,0,0,0
Breckenridge Public School District,Breckenridge Middle,Wilkin,Public,91,384,0,0,0,0,0,0,0,0,0,0,0
Breckenridge Public School District,Breckenridge Senior High,Wilkin,Public,219,7680,0,0,5,5,5,5,5,5,5,5,5
Rothsay Public School District,Rothsay Elementary,Wilkin,Public,172,127,0,0,0,0,0,0,0,0,0,0,0
Rothsay Public School District,Rothsay Secondary,Wilkin,Public,128,8064,0,0,0,0,0,0,0,0,0,0,0
Campbell-Tintah Public School Dist.,Campbell-Tintah Elementary,Wilkin,Public,72,127,0,0,0,0,0,0,0,0,0,0,0
Campbell-Tintah Public School Dist.,Campbell-Tintah Secondary,Wilkin,Public,64,8064,0,0,0,0,0,0,0,0,0,0,0
Lewiston-Altura Public School District,Lewiston-Altura Elementary,Winona,Public,215,31,0,0,0,0,0,0,5,10,10,10,10
Lewiston-Altura Public School District,Lewiston-Altura Intermediate El,Winona,Public,107,96,0,0,0,0,0,0,0,5,5,5,5
Lewiston-Altura Public School District,Lewiston-Altura Secondary,Winona,Public,401,8064,5,10,20,25,25,25,25,25,25,25,25
St. Charles Public School District,St. Charles Elementary,Winona,Public,526,127,0,5,5,5,10,10,10,10,10,15,15
St. Charles Public School District,St. Charles Secondary,Winona,Public,478,8064,0,10,10,10,10,10,10,10,15,25,25
Winona Area Public School District,Jefferson Elementary,Winona,Public,314,31,0,0,0,0,0,0,5,10,10,10,10
Winona Area Public School District,Winona Early Childhood Special Ed.,Winona,Public,79,1,0,0,0,0,0,0,0,0,0,0,0
Winona Area Public School District,Winona Middle,Winona,Public,774,480,5,10,10,10,10,20,25,35,35,35,35
Winona Area Public School District,Winona Senior High,Winona,Public,890,7680,0,0,0,0,5,15,15,35,35,35,35
Winona Area Public School District,Washington-Kosciusko Elementary,Winona,Public,312,31,0,0,0,0,0,0,5,5,5,5,5
Winona Area Public School District,Goodview Elementary,Winona,Public,196,31,5,5,5,5,10,10,10,10,10,10,10
Winona Area Public School District,Winona Area Learning Center,Winona,Public,69,8064,0,0,0,0,0,0,0,0,0,0,0
Annandale Public School District,Annandale Elementary School,Wright,Public,923,63,0,10,30,40,50,60,60,60,60,65,65
Annandale Public School District,Annandale Middle School,Wright,Public,497,448,0,0,5,15,25,25,25,25,25,30,30
Annandale Public School District,Annandale Senior High,Wright,Public,583,7680,0,5,5,10,10,10,10,10,10,15,15
Buffalo-Hanover-Montrose Public Sch,Parkside Elementary,Wright,Public,353,63,0,0,0,0,5,10,10,10,10,10,10
Buffalo-Hanover-Montrose Public Sch,Buffalo Early Child. Sp. Ed Program,Wright,Public,121,1,0,0,0,0,0,0,0,0,0,0,0
Buffalo-Hanover-Montrose Public Sch,Hanover Elementary,Wright,Public,378,63,0,0,10,10,15,15,15,15,15,15,15
Buffalo-Hanover-Montrose Public Sch,Buffalo Community Middle,Wright,Public,1304,448,0,5,10,15,20,30,35,45,45,50,50
Buffalo-Hanover-Montrose Public Sch,Buffalo Senior High,Wright,Public,1832,7680,5,15,55,65,70,75,85,90,90,100,100
Buffalo-Hanover-Montrose Public Sch,Phoenix Learning Center,Wright,Public,27,6144,0,0,0,0,0,0,0,0,0,0,0
Buffalo-Hanover-Montrose Public Sch,Montrose Elementary School of Innovation,Wright,Public,343,63,0,0,5,5,5,5,5,5,5,10,10
Buffalo-Hanover-Montrose Public Sch,Tatanka Elementary STEM School,Wright,Public,456,63,10,10,10,15,20,25,25,25,25,25,25
Buffalo-Hanover-Montrose Public Sch,Northwinds Elementary,Wright,Public,438,63,0,0,0,0,5,5,5,5,5,5,5
Buffalo-Hanover-Montrose Public Sch,Discovery Elementary,Wright,Public,227,63,0,5,5,5,5,5,5,5,5,5,5
Buffalo-Hanover-Montrose Public Sch,Pride Transitions,Wright,Public,21,4096,0,0,0,0,0,0,0,0,0,0,0
Delano Public School District,Delano Elementary,Wright,Public,637,15,0,10,15,15,15,15,15,15,15,15,15
Delano Public School District,Delano Intermediate School,Wright,Public,534,112,0,10,20,20,20,20,20,20,20,25,25
Delano Public School District,Delano High School,Wright,Public,1213,8064,5,25,45,45,50,55,55,55,55,60,60
Maple Lake Public School District,Maple Lake Elementary,Wright,Public,379,127,0,0,0,5,15,15,15,15,15,15,15
Maple Lake Public School District,Maple Lake Secondary,Wright,Public,401,8064,0,0,0,0,5,5,5,10,10,10,10
Monticello Public School District,Pinewood Elementary,Wright,Public,750,62,0,0,0,0,0,5,5,5,5,5,5
Monticello Public School District,Monticello Senior High,Wright,Public,1271,7680,10,20,30,30,30,40,45,45,50,60,60
Monticello Public School District,Monticello Middle,Wright,Public,1011,448,0,0,5,5,25,35,35,35,35,40,40
Monticello Public School District,Monticello Alternative Program,Wright,Public,32,7168,0,0,0,0,0,0,0,0,0,0,0
Monticello Public School District,Little Mountain Elementary,Wright,Public,558,62,0,0,0,0,0,0,0,0,0,0,0
Monticello Public School District,Eastview Education Center,Wright,Public,323,1,0,0,0,0,0,5,5,5,5,5,5
Monticello Public School District,Monticello Nature Based Education,Wright,Public,121,63,0,0,0,0,0,0,0,0,0,0,0
Monticello Public School District,PRAIRIE HOUSE SCHOOL,Wright,Public,6,3584,0,0,0,0,0,0,0,0,0,0,0
Rockford Public School District,Rockford Secondary,Hennepin,Public,495,7680,0,5,5,5,5,5,5,5,5,5,5
Rockford Public School District,Rockford Elementary Arts Magnet Sch,Hennepin,Public,577,31,0,0,0,0,5,10,10,10,10,10,10
Rockford Public School District,Rockford Middle,Wright,Public,481,480,0,0,0,0,0,0,0,0,0,0,0
St. Michael-Albertville School Dist,Albertville Primary,Wright,Public,441,1,0,0,0,0,0,5,10,10,10,10,10
St. Michael-Albertville School Dist,St. Michael-Albertville Senior High,Wright,Public,2197,7680,10,15,25,45,55,65,70,70,70,80,80
St. Michael-Albertville School Dist,St. Michael-Albertville Middle East,Wright,Public,884,480,0,20,30,35,45,50,60,60,60,70,70
St. Michael-Albertville School Dist,St. Michael Elementary,Wright,Public,487,30,0,0,0,0,10,20,20,20,20,25,25
St. Michael-Albertville School Dist,Knights Academy,Wright,Public,43,7168,0,0,0,0,0,0,0,0,0,0,0
St. Michael-Albertville School Dist,Big Woods Elementary,Wright,Public,653,30,0,10,10,10,15,20,20,20,20,25,25
St. Michael-Albertville School Dist,Fieldstone Elementary School,Wright,Public,579,30,0,5,5,15,15,20,25,25,25,30,30
St. Michael-Albertville School Dist,St. Michael-Albertville Middle West,Wright,Public,1082,480,0,5,15,20,30,40,50,50,50,55,55
Canby Public School District,Canby Secondary,Yellow Medicine,Public,293,8064,0,0,0,0,0,0,0,0,0,0,0
Canby Public School District,Canby Elementary,Yellow Medicine,Public,274,127,0,0,5,10,10,10,10,10,10,10,10
Cambridge-Isanti Public School District,Cambridge Primary School,Isanti,Public,471,7,0,0,5,5,10,15,15,15,15,15,15
Cambridge-Isanti Public School District,Isanti Primary School,Isanti,Public,444,7,0,0,0,0,0,0,0,0,0,0,0
Cambridge-Isanti Public School District,School For All Seasons,Isanti,Public,127,63,0,0,0,0,0,0,0,0,0,0,0
Cambridge-Isanti Public School District,Cambridge Intermediate School,Isanti,Public,525,56,0,0,0,0,5,5,10,10,10,10,10
Cambridge-Isanti Public School District,Isanti Intermediate School,Isanti,Public,441,56,0,0,0,0,5,15,15,15,15,15,15
Cambridge-Isanti Public School District,Cambridge Middle School,Isanti,Public,601,448,0,0,0,5,15,15,15,15,15,15,15
Cambridge-Isanti Public School District,Isanti Middle School,Isanti,Public,528,448,0,0,5,5,10,10,10,10,10,10,10
Cambridge-Isanti Public School District,Cambridge-Isanti High School,Isanti,Public,1561,7680,5,35,55,75,95,95,100,100,100,100,100
Cambridge-Isanti Public School District,Riverside Academy,Isanti,Public,53,7680,0,0,0,0,0,0,0,0,0,0,0
Cambridge-Isanti Public School District,Riverside Academy IS,Isanti,Public,28,6144,0,0,0,0,0,0,0,0,0,0,0
Cambridge-Isanti Public School District,Riverside Academy MLP,Isanti,Public,3,256,0,0,0,0,0,0,0,0,0,0,0
Cambridge-Isanti Public School District,Isanti Early Childhood Special Education,Isanti,Public,46,1,0,0,0,0,0,0,0,0,0,0,0
Cambridge-Isanti Public School District,Cambridge Early Childhood Special Education,Isanti,Public,37,1,0,0,0,0,0,0,0,0,0,0,0
Cambridge-Isanti Public School District,Moving Forward,Isanti,Public,15,4096,0,0,0,0,0,0,0,0,0,0,0
Cambridge-Isanti Public School District,Brookside Academy,Isanti,Public,19,7162,0,0,0,0,0,0,0,0,0,0,0
Milaca Public School District,Milaca Elementary,Mille Lacs,Public,852,127,0,0,5,15,20,20,20,20,20,20,20
Milaca Public School District,Milaca Secondary High,Mille Lacs,Public,786,8064,0,0,10,15,20,25,25,25,25,25,25
Milaca Public School District,Milaca Area Learning Center,Mille Lacs,Public,31,7680,0,0,0,0,0,0,0,0,0,0,0
Milaca Public School District,Rum River Online,Mille Lacs,Public,13,7680,0,0,0,0,0,0,0,0,0,0,0
Ulen-Hitterdal Public School Dist,Ulen-Hitterdal Elementary,Clay,Public,151,127,0,0,0,0,0,0,0,0,0,0,0
Ulen-Hitterdal Public School Dist,Ulen-Hitterdal Secondary,Clay,Public,143,8064,0,0,0,0,0,0,0,0,0,0,0
Southern Plains Education Cooperative,Southern Plains Education Coop.,Martin,Public,27,1,0,0,0,0,0,0,0,0,0,0,0
Southern Plains Education Cooperative,SOUTHERN PLAINS AREA LEARNING CNTR.,Martin,Public,36,7168,0,0,0,0,0,0,0,0,0,0,0
Southern Plains Education Cooperative,Southern Plains Bridges,Martin,Public,32,8180,0,0,0,0,0,0,0,0,0,0,0
Southern Plains Education Cooperative,Positive Approach To Learning,Martin,Public,7,5898,0,0,0,0,0,0,0,0,0,0,0
Northeast Metro 916,Bellaire Education Center,Ramsey,Public,26,96,0,0,0,0,0,0,0,0,0,0,0
Northeast Metro 916,A/O Program,Washington,Public,9,1,0,0,0,0,0,0,0,0,0,0,0
Northeast Metro 916,Cambia Hills,Anoka,Public,26,8064,0,0,0,0,0,0,0,0,0,0,0
Northeast Metro 916,Assessment Center,Ramsey,Public,4,704,0,0,0,0,0,0,0,0,0,0,0
Northeast Metro 916,Willows,Anoka,Public,24,7936,0,0,0,0,0,0,0,0,0,0,0
Northeast Metro 916,Aris Currell,Washington,Public,12,94,0,0,0,0,0,0,0,0,0,0,0
Northeast Metro 916,Quora Secondary School,Ramsey,Public,174,8064,0,0,0,0,0,0,0,0,0,0,0
Northeast Metro 916,Karner Blue Education Center,Anoka,Public,102,511,0,0,0,0,5,5,5,5,5,5,5
Northeast Metro 916,South Campus Education Center,Ramsey,Public,63,8128,0,0,0,0,0,0,0,0,0,0,0
Northeast Metro 916,Pankalo Education Center,Washington,Public,93,510,0,0,0,0,0,0,0,0,0,0,0
Northeast Metro 916,916 MAHTOMEDI ACADEMY,Ramsey,Public,102,7168,0,0,0,0,0,0,0,0,0,0,0
Northeast Metro 916,East View Academy,Ramsey,Public,155,7168,0,0,0,0,0,0,0,0,0,0,0
