District,School,County,Type,Enrollment,Grades,2021/09/18,2021/10/02,2021/10/16,2021/10/30,2021/11/13,2021/11/27,2021/12/11,2021/12/25,2022/01/08,2022/01/22,2022/02/05
Minneapolis Public School District,Edison Senior High,Hennepin,Public,938,7680,5,10,10,10,10,15,15,20,25,25,25
Minneapolis Public School District,Longfellow Alternative,Hennepin,Public,74,7680,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Henry Senior High,Hennepin,Public,949,7680,0,0,0,0,0,0,0,5,5,5,5
Minneapolis Public School District,Plymouth Youth Center,Hennepin,Public,123,7168,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Roosevelt Senior High,Hennepin,Public,957,7680,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Center School,Hennepin,Public,48,8064,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,South Senior High,Hennepin,Public,1644,7680,0,0,5,5,5,10,15,15,15,15,15
Minneapolis Public School District,Wellstone International High,Hennepin,Public,132,7680,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Southwest Senior High,Hennepin,Public,1918,7680,0,0,0,0,0,0,5,10,10,10,10
Minneapolis Public School District,Washburn Senior High,Hennepin,Public,1690,7680,0,5,5,5,5,10,20,30,30,30,30
Minneapolis Public School District,Menlo Park Academy,Hennepin,Public,54,7168,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,North Community Senior High,Hennepin,Public,402,7680,0,5,5,5,5,5,5,5,5,5,5
Minneapolis Public School District,Transition Plus Services,Hennepin,Public,234,4096,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Harrison Education Center,Hennepin,Public,28,7680,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Heritage STEM Academy,Hennepin,Public,121,7680,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,ALC Extended Day,Hennepin,Public,4,3072,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,American Indian OIC,Hennepin,Public,42,7168,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Minneapolis On Line Learning,Hennepin,Public,53,7680,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,VOA High School,Hennepin,Public,86,6144,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Wellstone High School - SWS,Hennepin,Public,26,6144,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Roosevelt High School - SWS,Hennepin,Public,2,4096,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Southwest High School - SWS,Hennepin,Public,2,6144,0,0,0,0,0,0,2,2,2,2,2
Minneapolis Public School District,MACC Extended,Hennepin,Public,21,4096,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,River Bend Educational Center,Hennepin,Public,83,8190,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Stadium View,Hennepin,Public,35,8064,0,0,0,0,0,0,0,0,0,0,0
