0022-01-032,Detroit Lakes Public School District,Detroit Lakes Middle ALC,Becker,5
0022-01-042,Detroit Lakes Public School District,DETROIT LAKES AREA LEARNING CENTER,Becker,53
0022-01-055,Detroit Lakes Public School District,Lincoln Early Childhood Ed. Center,Becker,60
0022-01-060,Detroit Lakes Public School District,Roosevelt Elementary,Becker,599
0023-01-010,Frazee-Vergas Public School District,Frazee Elementary,Becker,456
0023-01-020,Frazee-Vergas Public School District,Frazee Secondary,Becker,420
0025-01-070,Pine Point Public School District,Pine Point Elementary,Becker,87
0031-01-011,Bemidji Public School District,Gene Dillon Elementary School,Beltrami,746
0031-01-015,Bemidji Public School District,Bemidji Middle,Beltrami,1126
0031-01-016,Bemidji Public School District,Northern Elementary,Beltrami,307
0031-01-020,Bemidji Public School District,Bemidji Senior High,Beltrami,1455
0031-01-022,Bemidji Public School District,Bemidji Senior Lumberjack ALC,Beltrami,62
0031-01-030,Bemidji Public School District,Paul Bunyan Center,Beltrami,112
0031-01-040,Bemidji Public School District,J.W. Smith Elementary,Beltrami,187
0031-01-050,Bemidji Public School District,Central Elementary,Beltrami,119
0031-01-060,Bemidji Public School District,Lincoln Elementary,Beltrami,340
0031-01-070,Bemidji Public School District,Lakeside Learning Center,Beltrami,8
0031-01-080,Bemidji Public School District,Solway Elementary,Beltrami,129
0031-01-100,Bemidji Public School District,Horace May Elementary,Beltrami,278
0031-01-160,Bemidji Public School District,First City School,Beltrami,48
0031-01-170,Bemidji Public School District,BEMIDJI AREA LEARNING CENTER,Beltrami,52
0031-01-190,Bemidji Public School District,Oshki Manidoo Center,Beltrami,2
0032-01-010,Blackduck Public School District,Blackduck Elementary,Beltrami,353
0032-01-020,Blackduck Public School District,Blackduck Secondary,Beltrami,289
0036-01-010,Kelliher Public School District,Kelliher Elementary,Beltrami,158
0036-01-020,Kelliher Public School District,Kelliher Secondary,Beltrami,137
0038-01-010,Red Lake Public School District,Red Lake Elementary,Beltrami,579
0038-01-011,Red Lake Public School District,Red Lake Early Childhood Center,Beltrami,123
0038-01-020,Red Lake Public School District,Ponemah Elementary,Beltrami,144
0038-01-030,Red Lake Public School District,Red Lake Secondary,Beltrami,320
0038-01-035,Red Lake Public School District,RED LAKE ALTERNATIVE LEARNING,Beltrami,75
0038-01-040,Red Lake Public School District,Red Lake Middle School,Beltrami,269
0038-01-050,Red Lake Public School District,Red Lake Middle Level ALC,Beltrami,15
0038-01-110,Red Lake Public School District,Red Lake Early Childhood Special Education Extended Year,Beltrami,1
0047-01-001,Sauk Rapids-Rice Public Schools,Sauk Rapids-Rice Senior High,Benton,1423
0047-01-003,Sauk Rapids-Rice Public Schools,Mississippi Heights Elementary,Benton,908
0047-01-006,Sauk Rapids-Rice Public Schools,Rice Elementary,Benton,383
0047-01-007,Sauk Rapids-Rice Public Schools,Pleasant View Elementary,Benton,702
0047-01-009,Sauk Rapids-Rice Public Schools,Sauk Rapids-Rice Middle School,Benton,1013
0047-01-140,Sauk Rapids-Rice Public Schools,Hillside Early Childhood Center,Benton,46
0051-01-010,Foley Public School District,Foley Elementary,Benton,606
0051-01-020,Foley Public School District,Foley Senior High,Benton,621
0051-01-030,Foley Public School District,Foley Intermediate Elementary,Benton,718
