MDE ID, County, Name, City, 9/18/21, 10/2/21
0001-03-110, Hennepin, Burroughs Elementary, Minneapolis, 0-4, 0-4
0001-03-180, Hennepin, Dowling Elementary, Minneapolis, 0-4, 5-9
0001-03-352, Hennepin, Edison Senior High, Minneapolis, 5-9, 0-4
0001-03-291, Hennepin, Hmong International Academy, Minneapolis, 5-9, 0-4
0001-33-894, Hennepin, Hope Academy, Minneapolis, 0-4, 5-9
0001-03-179, Hennepin, Jefferson Elementary, Minneapolis, 5-9, 0-4
0001-03-323, Hennepin, Justice Page Middle School, Minneapolis, 0-4, 0-4
0001-03-135, Hennepin, Kenny Elementary, Minneapolis, 0-4, 5-9
0001-03-136, Hennepin, Kenwood Elementary, Minneapolis, 0-4, 5-9
0001-03-226, Hennepin, Marcy Open Elementary, Minneapolis, 5-9, 0-4
0001-33-059, Hennepin, Minnehaha Academy Mid & Lower Schools, Minneapolis, 5-9, 0-4
0001-03-375, Hennepin, North Academy Senior High, Minneapolis, 0-4, 5-9
0001-03-156, Hennepin, Pratt Elementary, Minneapolis, 0-4, 0-4
0001-03-324, Hennepin, Sanford Middle, Minneapolis, 5-9, 0-4
0001-03-160, Hennepin, Seward Elementary, Minneapolis, 0-4, 0-4
0001-03-362, Hennepin, South Senior High, Minneapolis, 0-4, 0-4
4078-07-020, Hennepin, Twin Cities International Schools, Minneapolis, 5-9, 0-4
0001-03-368, Hennepin, Washburn Senior High, Minneapolis, 0-4, 5-9
0001-03-170, Hennepin, Windom School, Minneapolis, 0-4, 5-9
0276-01-601, Hennepin, Clear Springs Elementary, Minnetonka, 0-4, 5-9
4122-07-010, Hennepin, Eagle Ridge Academy Charter School, Minnetonka, 0-4, 0-4
4122-07-020, Hennepin, Eagle Ridge Academy Lower School, Minnetonka, 0-4, 0-4
0270-01-563, Hennepin, Glen Lake Elementary, Minnetonka, 5-9, 5-9
0276-01-075, Hennepin, Minnetonka East Middle, Minnetonka, 0-4, 0-4
0276-01-074, Hennepin, Minnetonka Senior High, Minnetonka, 10-19, 5-9
0277-01-616, Hennepin, Hilltop Primary School, Minnetrista, 0-4, 5-9
0277-01-062, Hennepin, Mound Westonka High School, Minnetrista, 0-4, 5-9
0277-01-063, Hennepin, Grandview Middle School, Mound, 0-4, 10-19
0281-01-050, Hennepin, Robbinsdale Cooper Senior High, New Hope, 5-9, 10-19
0281-01-012, Hennepin, Robbinsdale Spanish Immersion El0-4, New Hope, 0-4, 10-19
0284-01-806, Hennepin, Greenwood Elementary, Plymouth, 0-4, 0-4
0284-01-803, Hennepin, Meadow Ridge Elementary School, Plymouth, 0-4, 5-9
0284-31-010, Hennepin, Providence Academy, Plymouth, 5-9, 20-29
0281-01-053, Hennepin, Robbinsdale Armstrong Senior High, Plymouth, 5-9, 0-4
0284-01-050, Hennepin, Wayzata High, Plymouth, 10-19, 5-9
0280-01-705, Hennepin, Richfield Dual Language School, Richfield, 5-9, 0-4
0280-01-035, Hennepin, Richfield Senior High, Richfield, 5-9, 0-4
0280-01-701, Hennepin, Sheridan Hills Elementary, Richfield, 0-4, 5-9
0883-01-001, Hennepin, Rockford Secondary, Rockford, 0-4, 5-9
0728-01-510, Hennepin, Rogers Senior High, Rogers, 10-19, 10-19
0282-31-001, Hennepin, St- Charles Borromeo, Saint Anthony, 5-9, 0-4
0283-31-015, Hennepin, Holy Family Academy, Saint Louis Park, 0-4, 10-19
0283-01-754, Hennepin, Peter Hobart Elementary, Saint Louis Park, 5-9, 10-19
0284-31-002, Hennepin, Redeemer Christian Academy, Wayzata, 5-9, 0-4
0299-01-010, Houston, Caledonia Elementary, Caledonia, 5-9, 0-4
0294-01-020, Houston, Houston Secondary, Houston, 5-9, 0-4
0297-01-020, Houston, Spring Grove Secondary, Spring Grove, 10-19, 0-4
0308-01-010, Hubbard, Nevis Elementary, Nevis, 5-9, 5-9
0309-01-030, Hubbard, Park Rapids Area Century Elementary, Park Rapids, 5-9, 5-9
0309-01-060, Hubbard, Park Rapids Senior High, Park Rapids, 0-4, 10-19
0911-01-350, Isanti, Cambridge-Isanti High School, Cambridge, 5-9, 20-29
4227-07-010, Isanti, Art and Science Academy, Isanti, 0-4, 10-19
0318-01-115, Itasca, Bigfork Elementary, Bigfork, 5-9, 0-4
0318-01-350, Itasca, Bigfork Secondary, Bigfork, 10-19, 5-9
0318-01-110, Itasca, Cohasset Elementary, Cohasset, 0-4, 0-4
0318-01-360, Itasca, Grand Rapids Senior High, Grand Rapids, 0-4, 10-19
0318-01-370, Itasca, Robert J- Elkington Middle School, Grand Rapids, 0-4, 10-19
0319-01-020, Itasca, Keewatin-Nashwauk Elementary School, Keewatin, 0-4, 5-9
0319-01-050, Itasca, Nashwauk Secondary, Nashwauk, 0-4, 5-9
0330-01-030, Jackson, Heron Lake-Okabena Secondary, Okabena, 0-4, 5-9
0332-01-040, Kanabec, Mora Secondary, Mora, 0-4, 10-19
0345-01-010, Kandiyohi, Prairie Woods Elementary, New London, 0-4, 10-19
2180-01-010, Kandiyohi, MACCRAY East Elementary, Raymond, 5-9, 0-4
0347-01-109, Kandiyohi, Kennedy Elementary, Willmar, 0-4, 20-29
0347-01-108, Kandiyohi, Roosevelt Elementary, Willmar, 0-4, 5-9
